2014-12-15 19:45:12	--LOG DE EJECUCION--
2014-12-15 19:45:12	Ejecutando contenido
2014-12-15 19:45:20	--------------------
2014-12-16 01:20:21	Ejecutando contenido
2014-12-16 01:20:24	--------------------
2014-12-16 01:50:30	Ejecutando contenido
2014-12-16 01:50:32	--------------------
2014-12-16 01:51:37	Ejecutando activa
2014-12-16 01:52:32	SQLException	Duplicate entry '954' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '950' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '975' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '975' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '959' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '968' for key 'PRIMARY'
2014-12-16 01:52:33	SQLException	Duplicate entry '968' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3791' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3095' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3095' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '988' for key 'PRIMARY'
2014-12-16 01:52:34	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3705' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '999' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '999' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '999' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '999' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '999' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '1026' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3460' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3460' for key 'PRIMARY'
2014-12-16 01:52:35	SQLException	Duplicate entry '3460' for key 'PRIMARY'
2014-12-16 01:52:36	SQLException	Duplicate entry '3460' for key 'PRIMARY'
2014-12-16 01:52:36	SQLException	Duplicate entry '3793' for key 'PRIMARY'
2014-12-16 01:52:36	SQLException	Duplicate entry '3312' for key 'PRIMARY'
2014-12-16 01:52:36	SQLException	Duplicate entry '3606' for key 'PRIMARY'
2014-12-16 01:52:36	SQLException	Duplicate entry '3096' for key 'PRIMARY'
2014-12-16 01:52:37	SQLException	Duplicate entry '3097' for key 'PRIMARY'
2014-12-16 01:52:37	SQLException	Duplicate entry '1048' for key 'PRIMARY'
2014-12-16 01:52:37	SQLException	Duplicate entry '1048' for key 'PRIMARY'
2014-12-16 01:52:37	SQLException	Duplicate entry '1052' for key 'PRIMARY'
